,S15_NK_CD56dim,S15_NK_CD56bright,S16_NK_CD56dim,S16_NK_CD56bright,S17_NK_CD56dim,S17_NK_CD56bright,S15_Th1,S15_Th2,S15_Th17,S16_Th1,S16_Th2,S16_Th17,S17_Th1,S17_Th2,S17_Th17
GCFC2,618,302,368,364,487,416,1492,1022,1052,1090,953,1507,1210,997,1063
WDR54,1398,767,963,1072,858,1098,1635,1908,1410,2122,1779,2038,2094,1326,2196
CROT,622,639,463,894,549,1302,680,429,2000,377,394,801,523,531,465
ABCB4,0,0,0,24,4,0,0,0,0,8,0,0,0,0,0
KMT2E,13683,12023,11292,14014,11098,14683,12983,16314,9106,16156,12902,17851,23459,14681,15560
RHBDD2,5438,3517,3814,4126,3289,4257,8110,18505,9101,14257,22657,16068,13313,21760,18751
SOX8,0,0,0,12,0,8,155,519,25,224,619,205,218,408,341
IBTK,1584,692,1571,1080,1402,930,2443,1855,1099,1162,737,1762,1491,1099,1509
ZNF195,1833,1186,1049,858,1471,1241,1783,1525,3574,1671,1067,1527,2366,2187,1745
MYCBP2,3161,1620,1915,1876,2131,2554,4966,4808,2760,3308,1815,3892,6717,3159,4583
FBXL3,2385,1391,2615,1990,3248,2262,4706,4183,1057,3109,3603,5857,5173,3558,4152
ITGAL,33122,9162,28502,9141,22515,15216,14295,9879,10486,12166,6307,14802,15679,10194,13436
PDK2,952,846,737,783,645,695,1032,903,1181,1562,1067,1384,1378,980,1115
ITGA3,57,4,3,52,33,22,345,240,4,317,154,344,191,299,441
ZFX,1197,955,1247,911,1556,1133,1256,1167,3005,1537,854,1607,1896,1419,1171
LAMP2,3429,2144,3635,2137,4576,3050,3377,3090,278,2463,2700,5887,3009,2606,4152
ITGA2B,17,12,20,0,52,4,6,69,0,53,0,3,41,12,7
ASB4,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
GDE1,2590,1441,2614,1638,2959,2072,1449,2146,870,1903,2555,3023,2867,2450,3707
C19orf60,4432,3646,3312,4653,3027,4157,6992,10615,14616,9560,10646,8122,7988,7210,7752
CRLF1,14,13,9,5,7,8,21,5,0,24,16,9,28,7,3
OSBPL7,2442,720,1530,890,862,1021,1294,1546,19,1324,1196,1452,1741,995,1388
TMEM98,0,1,0,0,0,0,0,0,2,1,0,0,1,0,2
YBX2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1
KRT33A,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
MAP3K14,979,507,694,909,639,1024,1802,1774,0,1776,1217,2274,2387,1895,2592
ABCC8,0,0,0,0,0,0,1,0,204,0,0,0,0,0,0
CACNG3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMEM132A,0,1,7,0,1,0,7,0,0,0,0,0,0,0,0
AP2B1,3125,1569,4295,2588,3292,3598,3428,2652,313,2619,2380,4544,2957,2436,3596
TAC1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNF263,1988,1544,2488,2716,2058,3025,2369,2784,22,3564,3310,3298,3542,2399,2907
CX3CL1,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0
SPATA20,2323,1779,1055,1354,1490,2530,1678,1754,1753,1499,1244,1345,2685,1820,2554
CACNA1G,0,0,0,0,0,0,2,1,14,0,0,0,0,1,0
TNFRSF12A,68,67,67,34,41,84,20,113,125,51,94,7,14,0,8
DLX6,0,0,0,10,0,0,1,0,0,0,0,0,0,0,0
MAP3K9,80,8,227,79,152,89,138,227,0,435,298,504,484,551,491
RALA,1018,1442,755,1425,789,1500,2021,1642,733,2357,1685,2713,3199,1959,2726
BAIAP2L1,69,3,19,15,9,19,99,145,0,96,70,81,94,36,48
KDM7A,1746,659,1329,709,1459,978,2082,1362,350,1773,1238,1700,3255,1390,1412
ETV1,0,0,0,0,0,0,3,0,43,16,0,22,0,0,4
AGK,5215,4734,3592,4071,2528,5130,1225,1368,180,2062,1234,2304,2422,1312,1219
ALDH3B1,23,441,29,1410,840,1880,4,0,9,0,0,0,0,0,0
TTC22,779,397,464,376,274,497,273,178,47,265,173,374,423,117,408
PHTF2,783,741,614,915,1252,916,1897,4242,1440,1658,2620,3309,3350,2909,3087
CCL26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FARP2,285,172,315,524,294,222,140,251,4,228,161,362,395,210,140
USH1C,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
GGCT,366,308,244,191,232,239,315,364,391,449,230,466,372,182,400
DBF4,1533,1565,1680,1511,1653,2349,2408,2662,2116,2585,2581,3395,3630,2716,3372
TBXA2R,51,37,50,72,20,91,12,0,0,56,0,0,28,0,6
IFRD1,2940,2837,3072,4844,2130,2734,4133,5297,3455,4046,3414,3208,3313,2560,2228
LGALS14,0,0,0,0,0,0,9,51,0,24,11,0,4,17,0
COX10,1011,634,725,698,533,569,1937,1965,660,1642,1595,1847,1805,1399,1234
GTF2IRD1,0,0,2,0,0,0,12,167,0,30,142,42,0,60,58
PAF1,1806,944,1276,1360,902,1362,1868,2520,674,2724,3103,2667,2077,1756,2247
VPS41,1827,1350,1787,1290,1381,1548,1402,1029,378,1414,652,1518,1382,527,881
ARHGAP44,8,6,12,30,6,10,3,10,243,14,9,24,22,48,29
ELAC2,2810,2381,1850,2515,1631,2834,2797,3056,705,3510,2892,4342,2997,3140,2680
SCIN,0,0,0,0,0,0,34,4,0,0,0,20,0,0,5
ARSD,512,260,350,355,519,425,76,89,0,50,14,52,88,51,80
PNPLA4,106,93,131,91,117,70,226,284,0,243,213,385,214,307,163
MYH13,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
ADIPOR2,975,231,551,176,609,322,263,316,647,259,325,269,303,137,309
CDKL3,19,12,29,44,29,20,33,37,25,41,19,34,47,39,43
UPP2,0,4,0,0,0,0,3,11,0,10,3,18,6,1,10
PRSS21,84,18,83,97,43,83,57,123,0,316,335,238,120,202,100
MARK4,152,77,96,67,111,124,146,146,644,116,64,195,201,158,323
PROM1,0,1,5,0,2,13,0,0,0,0,0,0,0,0,0
CCDC124,1783,1399,1347,1395,1098,1179,972,1838,2054,2243,2633,2275,1367,1554,2086
CEACAM21,757,440,344,355,236,363,1039,1096,152,1244,628,1295,1048,724,1068
PAFAH1B1,2168,1195,1510,1530,1537,1557,2540,3080,4915,2714,2228,2714,3454,2081,2956
NOS2,1,0,1,0,0,0,1,1,1,0,0,21,0,0,50
DNAH9,0,0,0,0,1,5,3,0,26,6,0,0,12,1,0
KIAA0100,1949,1582,1870,2110,1845,2616,2619,3123,874,1745,1971,3167,3096,2036,2467
SLC13A2,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0
GAS7,2161,3617,2057,3835,2083,5511,82,112,2079,12,91,46,45,300,44
TRAPPC6A,2200,2122,1144,1556,1074,1895,2709,4357,4664,3781,4456,3642,3433,4058,4638
MATK,12879,11135,10924,10671,5920,10903,969,1208,1171,1133,1187,996,1036,1182,627
CEACAM7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD79B,2503,1333,763,563,1425,1259,1168,1156,2434,1312,1114,1788,1325,925,1609
SCN4A,0,0,32,7,0,4,2,20,4,0,0,0,0,36,23
ST7L,437,283,345,295,371,332,1028,874,558,781,703,446,773,413,752
TKTL1,3077,92,1769,133,1834,163,235,509,74,346,457,942,69,254,302
PAX6,58,32,42,58,114,60,147,50,0,32,38,124,43,42,36
RPUSD1,2160,1529,1533,1621,1720,2051,1248,1673,1294,1822,1512,1830,1685,1860,1866
RHBDF1,0,8,0,0,3,0,0,0,6,0,0,15,0,28,2
LUC7L,4052,3375,2323,3435,2705,3649,3982,5629,3487,3648,3575,3676,4713,3605,3422
CACNA2D2,836,36,521,45,281,62,107,86,139,97,98,117,224,109,160
BAIAP3,112,992,256,1646,128,1446,495,1633,187,662,1209,789,800,1269,697
TSR3,2182,2035,1872,2219,1515,2014,2129,3499,4524,3133,4122,3649,2871,2951,3339
PIGQ,1141,1229,921,1032,734,1108,1043,1417,1165,1975,1152,1227,1749,1342,1370
CRAMP1L,735,203,303,446,398,552,346,377,30,357,302,354,399,188,385
TEAD3,2,2,5,0,13,1,14,55,22,2,0,0,13,40,0
SELE,0,0,0,0,0,18,3,0,3,15,0,0,0,16,4
DNAJC11,1050,794,942,915,756,1056,1187,1530,0,1662,1090,1225,1710,1458,1194
FMO3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
MYLIP,8143,6158,7274,6100,5592,6692,10721,10252,5270,10256,8190,11255,11800,6095,8662
NOX1,0,6,0,1,6,0,2,8,0,3,2,4,9,0,2
E2F2,63,23,28,32,50,76,79,216,204,136,357,739,99,222,608
PSMB1,12111,9854,7317,7799,9318,10107,11171,13662,10811,15200,13987,15382,19367,13506,17841
SYN1,2,0,2,0,25,0,4,0,0,0,1,17,1,11,16
JARID2,3272,2423,3434,3308,2279,5119,2406,2904,658,1869,1301,1968,2223,2742,2633
CDKL5,145,31,37,109,69,60,153,313,63,108,109,114,162,68,14
CAMK1G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDK11A,185,65,72,60,185,148,128,239,231,105,87,72,292,192,167
NADK,1863,887,1596,913,1609,963,1152,1238,409,1166,849,1866,1271,1091,1334
TFAP2B,0,0,0,0,0,1,2,0,0,0,0,0,2,0,0
TFAP2D,0,0,0,0,0,0,0,49,26,1,0,0,25,0,26
DLEC1,149,23,139,13,151,172,175,219,1,398,283,266,606,346,265
CYTH3,762,1348,643,1455,704,2259,274,517,954,359,92,968,219,317,574
ADAM22,81,41,121,43,26,82,61,205,167,42,221,69,198,81,109
SYPL1,642,3315,351,3553,946,4450,3848,4378,790,4764,3860,5316,3894,3405,4085
CYB561,761,1568,381,2366,630,3506,2949,6221,2565,2255,4017,3927,2422,3803,3735
SPAG9,1329,761,969,658,1230,990,1188,1449,1657,1102,867,1055,1783,1056,1208
CELSR3,52,20,54,81,50,102,267,359,0,59,198,216,82,317,191
AASS,45,142,16,13,56,135,178,0,0,72,0,25,15,166,25
PLEKHG6,1,0,7,0,0,0,8,2,89,0,0,0,1,0,0
SS18L2,3534,2425,1723,1449,2294,1833,3529,4632,2150,5108,5721,5411,5738,4199,6212
MPND,209,164,318,237,198,229,199,226,154,256,177,387,211,220,272
MGST1,0,0,0,14,4,0,5,0,0,0,1,0,0,0,0
CRY1,3210,1419,3189,1554,3395,2580,1317,1779,2750,1653,1463,2936,3541,2840,3402
PGLYRP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NFIX,7,458,5,592,6,722,72,2,15,82,44,64,90,41,48
ST3GAL1,3909,6248,3161,7812,3487,9035,11598,13123,9043,9980,9327,10923,12488,11604,9883
MMP25,49,235,65,414,45,369,59,123,99,52,76,50,71,127,34
IL32,8162,1613,3685,2396,5000,2074,25008,42082,38387,28916,44551,40595,26612,32649,42253
PKD1,1107,323,689,498,608,715,1379,1435,1157,990,958,845,1778,1100,1089
MAPK8IP2,26,11,5,0,1,0,2,0,1,0,2,0,0,8,23
MED24,3295,1670,2952,1928,1914,2594,2139,2491,5224,3412,2154,3577,2734,2282,2549
RHOBTB2,730,585,406,450,293,825,149,123,35,200,67,130,236,231,117
HEATR5B,1007,555,989,627,1157,1187,2328,2151,3411,995,415,1401,1598,1612,1208
SEC62,2790,2050,2208,2040,2014,2279,3800,4555,6416,5731,4882,5653,6221,3520,5573
RPS20,5064,8683,5612,7754,6416,10601,27964,26854,52722,29828,33639,25306,32500,24056,42044
CSDE1,9337,8623,10555,11193,10139,13909,23199,16385,8164,19276,14132,28317,24058,19257,22099
UBE3C,2002,1223,1576,1715,1620,1549,3156,2796,1993,3371,2422,3920,4168,3136,3584
REV3L,604,870,667,930,875,1331,1386,1094,169,1018,510,1439,1733,1119,1380
TENM1,196,47,271,153,261,99,219,354,334,395,307,215,448,235,228
PAX7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
MASP2,17,6,6,9,26,16,11,13,0,2,0,0,27,0,33
IYD,0,0,0,0,0,0,0,1,5,0,0,0,1,0,0
FAM76A,386,249,466,489,516,342,476,664,1128,721,541,883,679,598,815
TRAF3IP3,9701,6308,5625,5555,4887,5841,11328,11562,10028,14058,10458,14838,13918,8856,11050
POMT2,351,187,118,228,158,235,291,428,2,182,343,209,110,232,262
VTA1,1894,1420,1569,1330,1761,1911,1979,1784,189,1593,1387,2037,2296,1264,1748
MLXIPL,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0
BAZ1B,2236,1307,1769,1318,1409,1564,3139,2499,589,1917,1640,2243,2821,2035,2219
RANBP9,639,316,528,424,662,489,1676,1255,1746,846,546,1871,2112,1318,2365
ETV7,51,93,142,112,74,57,147,112,0,399,61,523,373,248,478
SPRTN,912,934,958,795,1227,1212,882,1309,0,843,545,1034,1327,1301,1360
METTL13,509,457,462,415,371,385,545,624,141,563,389,839,629,293,599
DYRK4,433,334,171,176,231,190,269,516,1701,388,341,329,502,356,467
ZNF207,13028,7751,10327,9264,10882,11045,8887,8881,1128,11538,6920,14051,14887,9140,12860
UQCRC1,7773,4232,5662,4379,5221,3581,4569,7367,7332,9451,8009,9986,7127,6572,7324
STARD3NL,4269,2186,2706,2041,2805,2642,1299,1792,2038,1674,971,1727,1576,1161,1154
CD9,21,41,54,132,53,271,18,47,0,14,39,86,131,49,134
HHATL,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0
NCAPD2,1819,1458,1688,1220,1108,1691,1604,1673,303,1739,1578,2106,1481,1052,1603
IFFO1,4029,2553,2570,3110,2732,3417,2840,3218,3609,3370,2888,3236,3426,2910,3150
GIPR,145,74,119,21,184,49,78,58,1,118,104,142,118,23,114
PHF7,302,384,206,347,337,337,465,622,627,506,741,641,593,652,763
SEMA3G,0,0,0,0,6,0,0,4,131,33,0,325,33,51,307
NISCH,4622,2232,4339,3954,3069,3960,4481,3971,1948,5113,4939,5293,5763,4344,4596
STAB1,19,44,1,56,0,61,34,15,165,0,0,0,0,0,0
FUZ,160,99,191,266,176,213,253,257,926,322,168,318,230,225,227
SLC6A13,8,0,0,0,5,2,2,3,1,21,0,0,0,0,1
IDS,8444,3778,11238,5098,8917,6946,8988,7465,4028,6169,5335,10702,7487,7268,7608
PRSS3,0,20,0,15,0,37,0,39,0,0,0,0,0,13,0
ZNF200,396,220,625,645,647,694,901,752,3,965,1011,1027,1655,786,863
CD4,7,1,5,192,2067,78,23349,25431,4760,29220,20470,36800,27069,22221,25816
LRRC23,221,144,58,98,159,169,219,173,85,182,197,199,310,431,309
BTK,0,0,4,70,605,29,6,0,22,12,0,6,0,8,10
HFE,0,0,27,0,17,0,34,88,0,82,109,79,87,73,9
SCMH1,208,509,174,607,177,812,953,1147,100,927,558,837,884,530,943
FYN,30251,14810,24219,12708,24735,20253,25392,18383,7245,25591,12219,25780,34516,20482,26808
HIVEP2,498,602,297,509,298,1263,6248,3142,3075,2554,1529,3603,4523,2604,3578
FMO1,9,4,3,1,2,9,4,6,6,4,10,12,8,6,7
TCEB3,4379,2959,2871,2418,3239,3691,3309,4009,171,3065,3088,4904,3185,4677,4119
LYPLA2,2132,1371,1513,1421,1468,1336,2337,3327,2084,3131,3450,3488,2605,2361,3104
CLCN6,540,252,583,498,883,523,401,358,1195,673,162,477,729,214,283
MRC2,0,2,11,75,11,11,75,38,1,58,140,373,113,2,136
NME2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC6A7,0,1,14,0,0,0,1,0,0,0,0,3,0,0,0
TSPAN9,8,7,20,0,0,8,11,26,0,0,0,7,0,1,5
BTBD7,662,461,883,679,718,547,1074,770,283,630,671,915,926,745,595
APBA3,1148,874,759,828,557,914,1923,2076,2715,2451,2162,2243,2047,2160,2331
MKS1,343,586,242,620,72,476,464,548,241,687,399,841,307,486,318
ABHD5,436,224,354,271,294,193,523,345,0,384,131,430,235,108,310
ANOS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKAP8L,4977,3769,3898,4958,3617,5481,4446,4923,4035,6039,4890,7033,6706,5188,6370
MBTD1,720,489,469,649,628,437,765,867,47,756,574,535,1227,748,832
UTP18,2189,1538,919,1101,1333,1431,2183,2817,5002,2197,2152,2990,3114,2554,3060
RNF216,4872,2373,4472,3390,3472,3887,6879,6293,1740,7066,5659,6773,10283,6719,6380
TTC19,2772,2448,2313,2928,2493,3098,3121,3843,693,4009,3076,4799,4216,3876,3228
PTBP1,7082,5043,7687,7493,6542,9345,9475,11817,4351,10977,9688,14794,11042,11566,13554
DPF1,0,4,9,0,0,4,1,17,3,0,2,0,3,6,0
SYT7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
LARS2,345,295,408,373,277,689,415,444,41,464,633,579,995,330,556
PIK3C2A,1014,495,1001,648,799,981,917,893,397,352,516,582,1183,403,581
PLAUR,175,65,68,162,1359,22,337,473,1954,656,824,697,76,184,214
ANLN,25,16,17,54,17,10,6,0,2,28,0,67,53,8,63
WIZ,329,146,177,191,261,292,304,572,11,341,253,231,357,400,272
RABGAP1,915,617,987,998,741,1125,1468,1193,26,981,649,1741,1663,1013,1212
DCN,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0
QPCTL,176,145,186,134,115,221,145,174,2,162,87,185,310,133,216
PPP5C,2643,1182,3022,1374,2112,1214,1163,1002,202,2052,1065,1917,1380,1324,1500
CEP68,265,1137,511,1538,538,1680,2116,1668,101,3349,2047,3931,3529,2558,3796
MAP4K3,351,289,322,441,417,525,371,638,23,326,359,374,519,342,633
ZBTB32,0,3,0,11,0,0,86,69,543,284,164,175,225,98,97
TYROBP,17762,16703,13566,11916,16245,13024,45,53,1701,129,9,27,38,23,50
TMEM159,521,238,186,172,182,157,498,496,2,428,310,425,618,458,703
GABRA3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRCA1,160,89,141,108,91,33,22,36,647,83,0,43,41,0,60
ERCC1,1579,1500,1395,1641,1151,1487,1372,1744,1165,2730,2814,2485,1957,1396,1590
CD22,0,2,0,113,0,26,1,0,0,2,0,0,0,0,0
SEMA3B,7,0,10,5,24,1,1,4,2,6,12,0,5,3,12
MBTPS2,216,213,212,241,215,324,549,234,5,290,205,365,408,215,317
PRICKLE3,163,97,103,97,80,80,150,101,0,173,44,127,218,87,121
LTF,3,0,4,0,0,1,1,0,0,0,0,0,2,0,0
EXTL3,1332,379,1802,727,1929,1007,492,765,1,418,230,503,696,403,662
NR1H4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELOVL5,2930,2105,2401,1983,2265,2223,5632,6191,6175,5514,3692,9425,8759,4595,9044
ALOX5,40,8,18,102,1761,3,177,487,1,102,1001,563,110,354,239
KDM5D,1992,790,956,1319,1178,1291,4649,2784,2555,3656,2746,3804,5818,2394,2933
CALCOCO1,6748,4044,4642,5713,3705,6023,4327,4034,1131,5965,4464,8165,7057,3935,5494
UBR7,1639,920,1471,848,1361,987,1431,1485,1754,1736,976,2157,1851,819,1905
MAP4K5,2306,1683,1548,1693,1640,1880,1538,1215,437,1315,1163,1456,1891,1440,1082
EHD3,319,16,245,68,124,157,482,147,0,88,223,235,153,10,220
PSMC4,4690,2438,3133,2982,2641,2647,2611,3962,2432,4074,4902,4284,3445,3423,4212
MAN2B2,3156,1052,4016,1733,2374,2394,3146,2208,1602,3292,1885,5282,3864,2611,3689
SLC7A14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLDN11,0,0,0,0,0,9,0,1,1,0,8,0,1,3,1
SLC25A39,4474,6640,3795,8023,3224,7379,5626,5737,2875,10071,7863,8831,8197,5908,6876
MVP,10661,4548,6462,5848,5950,8635,11010,11366,12412,14630,9690,16387,12132,11374,14381
NUB1,6293,4672,3608,3980,4383,5324,4799,5567,2267,4984,4193,5499,6065,4747,5573
PGM3,156,160,161,87,219,123,288,439,446,333,370,714,382,705,361
